date,symbol,category,state,trend_score,bottom_score,reversal_score,setup_quality,close,fwd_1d,fwd_5d,fwd_10d,fwd_20d
2025-07-08,AMZN,technology,STRONG_UPTREND,87.0,55.5,79.5,100.0,223.47000122070312,-1.8391733064396676,0.993422476652972,2.608852105073778,-5.2893038258612135
2025-07-29,AMZN,technology,STRONG_UPTREND,90.0,55.5,79.5,100.0,232.7899932861328,-0.7646371539299812,-9.081146097059378,-4.935774975624541,-2.083418954682137
2025-08-19,AMZN,technology,UPTREND,80.0,51.5,72.5,100.0,231.49000549316406,-1.503309388634011,-1.533544847517243,-2.656706125247832,1.1058782227509
2025-09-10,AMZN,technology,UPTREND,84.0,55.5,85.5,100.0,238.24000549316406,-3.3201827903485137,-1.7587316759554383,-7.358125577192309,-6.909001987216412
2025-10-01,AMZN,technology,NEUTRAL,49.5,55.0,48.0,65.0,219.57000732421875,0.48276063361811783,1.006508804189643,-1.4482888502502456,4.408613359240676
2025-10-22,AMZN,technology,NEUTRAL,38.0,49.5,56.5,100.0,222.02999877929688,-1.8375903497213075,3.25181338575784,12.291135745151616,0.23420451079578797
2025-11-12,AMZN,technology,UPTREND,77.0,40.5,72.5,75.0,249.10000610351562,-1.9670851205187079,-10.65837109643616,-7.8000832832159865,-6.953033681187981
2025-12-04,AMZN,technology,REVERSAL,66.0,48.5,65.5,100.0,232.3800048828125,-1.407179707268691,-0.2582004005973748,-4.7809623792521405,-2.5303402871420633
2025-12-26,AMZN,technology,REVERSAL_CONFIRMED,69.0,59.5,76.5,100.0,232.3800048828125,0.060245884631537905,-2.5303402871420633,6.454944351844905,2.5991880365002773
2026-01-20,AMZN,technology,UPTREND,80.0,67.5,75.5,100.0,239.1199951171875,-3.3957825706746436,-0.29273877657078895,1.605893139466552,-15.879057375396332
2026-02-10,AMZN,technology,DOWNTREND,28.0,53.0,46.0,65.0,208.72000122070312,-0.8432323191560842,-3.6268720199048587,-0.0766594773733198,2.6878116987070433
2026-03-04,AMZN,technology,STRONG_DOWNTREND,19.5,49.5,53.5,65.0,208.72999572753906,3.8758260730478833,2.6828947530979086,3.0996988229466504,-0.22037630646941642
2026-03-25,AMZN,technology,REVERSAL,22.5,74.5,67.0,75.0,207.24000549316406,2.1569200454641724,0.49700769735352424,6.760275108802816,23.21945273195565
2026-04-16,AMZN,technology,EARLY_UPTREND,58.0,44.5,65.5,45.0,248.5,0.4828961562342915,2.7605636258960065,5.851110078439392,8.704227317027158
2026-05-07,AMZN,technology,UPTREND,78.0,40.5,65.5,75.0,274.989990234375,-1.389133038400725,-1.7673317299369051,-3.6292159071841246,-7.709370413873373
2026-05-29,AMZN,technology,UPTREND,79.0,45.5,65.5,100.0,274.0,-1.226272026117703,-7.375914859075616,-11.857666238381048,-15.076641444742245
2026-06-22,AMZN,technology,NEUTRAL,47.5,55.5,50.0,65.0,244.38999938964844,-4.746514232368771,-4.787428690806639,-0.09411012239185501,2.291421955686146
2026-07-14,AMZN,technology,EARLY_UPTREND,60.0,56.5,72.5,90.0,247.30999755859375,0.07278635572653958,1.083663402623003,-6.437264294248147,12.445917707796816
2024-09-03,ARKK,small_caps,NEUTRAL,50.0,58.5,72.5,90.0,44.81999969482422,-4.105310497805226,-4.863900758632822,1.9410953543251175,6.046405852130343
2024-09-24,ARKK,small_caps,REVERSAL_CONFIRMED,57.0,51.5,72.5,100.0,46.939998626708984,1.086497978592349,1.2569240942673865,-2.1942880473601045,0.9373720798446783
2024-10-15,ARKK,small_caps,REVERSAL,66.0,58.5,69.5,100.0,47.369998931884766,-0.1688790757045533,0.021114917576525727,2.1743774904348756,22.12370652004012
2024-11-05,ARKK,small_caps,REVERSAL,64.5,57.5,69.5,80.0,46.68000030517578,3.2347864431478524,23.92887338457623,18.05912649970802,26.371039616137516
2024-11-26,ARKK,small_caps,STRONG_UPTREND,94.0,59.5,75.5,85.0,57.029998779296875,-1.4553709172771878,3.436792812770406,6.242331140612567,6.891110624751495
2024-12-18,ARKK,small_caps,UPTREND,84.0,50.5,68.5,85.0,62.97999954223633,-7.018098128090844,-3.207368168380176,-9.669736736825074,-5.350903392155059
2025-01-13,ARKK,small_caps,NEUTRAL,57.5,40.5,50.5,55.0,57.470001220703125,-1.3398302443158538,3.723680779873595,5.620322731214333,9.135200780383368
2025-02-04,ARKK,small_caps,UPTREND,85.0,55.5,74.5,90.0,61.779998779296875,2.168987016938795,1.5215319844280373,7.607647572844778,-13.936550308312512
2025-02-26,ARKK,small_caps,NEUTRAL,57.0,56.0,46.0,65.0,56.0,0.8214269365583116,-5.053574698311946,-13.946431023733952,-3.321429661342079
2025-03-19,ARKK,small_caps,DOWNTREND,26.0,58.5,44.0,50.0,48.2400016784668,3.7520677769828703,12.230508925988005,-0.9121111652088842,-3.503321688648753
2025-04-09,ARKK,small_caps,DOWNTREND,20.0,44.5,35.5,30.0,40.5099983215332,16.637872025988543,14.90990166819326,18.365842383783804,22.4142241601333
2025-05-01,ARKK,small_caps,REVERSAL,48.0,74.0,83.0,85.0,50.84000015258789,-0.13768626005925544,-2.458693934398759,13.217940992396038,11.368998351591575
2025-05-22,ARKK,small_caps,STRONG_UPTREND,91.0,73.5,75.5,100.0,55.68000030517578,1.2571852713772147,1.68821591515258,1.2212649092111727,21.64152835077786
2025-06-13,ARKK,small_caps,STRONG_UPTREND,88.0,55.5,75.5,85.0,62.02000045776367,0.2741021729935067,9.206712120323978,12.608829123521947,18.7520170626819
2025-07-08,ARKK,small_caps,UPTREND,84.0,50.5,68.5,85.0,70.44000244140625,0.6530367242041146,4.557068389006402,9.043150051685789,4.471882151203244
2025-07-29,ARKK,small_caps,UPTREND,84.0,50.5,68.5,100.0,76.83999633789062,-2.732949732176859,-4.229568134944572,-2.0952538491508577,-1.5356490526007294
2025-08-19,ARKK,small_caps,UPTREND,76.0,46.5,65.5,100.0,77.11000061035156,-3.9942962088904688,-1.8804265812021437,-3.501487390572955,5.083644323586056
2025-09-10,ARKK,small_caps,REVERSAL,68.0,54.5,65.5,100.0,76.58999633789062,-1.3448215544401454,5.7971049140913555,9.126525430718635,16.34678792413917
2025-10-01,ARKK,small_caps,STRONG_UPTREND,100.0,62.5,80.5,95.0,86.30000305175781,0.7184184186131093,3.2560804857775905,0.6488963369536638,3.453065610845729
2025-10-22,ARKK,small_caps,UPTREND,78.0,58.5,68.5,100.0,88.6500015258789,-3.7225076085243725,0.7106567880137638,-5.809364283401064,-15.431472159853588
2025-11-12,ARKK,small_caps,NEUTRAL,40.5,20.5,37.5,55.0,82.05000305175781,-0.8409535840857796,-8.628886737016405,-5.789152740193881,1.352834331586017
2025-12-04,ARKK,small_caps,NEUTRAL,45.0,44.5,63.5,90.0,80.75,2.3529430661039186,2.984524658958976,-3.7770935625483726,-3.0216748500387025
2025-12-26,ARKK,small_caps,REVERSAL_CONFIRMED,65.0,63.5,83.0,100.0,80.6500015258789,-1.177934977883266,-2.9014307786891957,-0.4463739659521848,-0.9051498364812227
2026-01-20,ARKK,small_caps,UPTREND,70.0,48.5,72.5,90.0,81.68000030517578,-2.999506536592089,-2.1547528521727255,-8.961801747643205,-13.932415782198348
2026-02-10,ARKK,small_caps,NEUTRAL,38.5,54.5,50.0,65.0,72.44000244140625,-0.24848191483893833,-2.954168025297066,-0.5107713060629848,0.6211995210880561
2026-03-04,ARKK,small_caps,DOWNTREND,33.5,60.5,68.5,65.0,72.26000213623047,3.694987669543126,0.8718478200848256,1.107106834642857,-6.462781151785146
2026-03-25,ARKK,small_caps,BOTTOM_FORMING,28.5,75.5,51.0,65.0,69.0,1.3043500375056638,-2.043483568274451,1.9710153773210948,14.927540654721462
2026-04-16,ARKK,small_caps,REVERSAL,46.0,46.5,82.5,75.0,77.47000122070312,-0.1678131931896254,2.3622070507540283,-5.085842751159431,0.7486792589590063
2026-05-07,ARKK,small_caps,STRONG_UPTREND,85.0,55.5,75.5,85.0,79.58000183105469,-2.073387142390115,-1.9225920383176165,-4.69968007930428,0.6157298975812742
2026-05-29,ARKK,small_caps,STRONG_UPTREND,92.0,59.5,85.5,85.0,81.01000213623047,1.1603441392718183,-1.1603535571144574,-6.851009635112282,-3.5551225859361657
2026-06-22,ARKK,small_caps,UPTREND,77.0,54.5,72.5,90.0,80.19000244140625,-2.1947899771127655,-2.568905256604148,4.264868518297216,-6.5344872597963395
2026-07-14,ARKK,small_caps,REVERSAL,66.5,69.5,65.5,75.0,78.23999786376953,1.6359903045058743,-4.205011509913192,-7.298056288824073,2.811866868231938
2024-09-03,AVGO,semiconductors,UPTREND,80.0,52.5,72.5,90.0,159.81442260742188,-6.1601944241128965,-13.511851419158916,0.7369960160777511,6.293663361912505
2024-09-24,AVGO,semiconductors,UPTREND,81.0,55.5,85.5,85.0,170.305908203125,1.098630537592471,-0.25442677683912285,1.2374242552392278,4.07656259631608
2024-10-15,AVGO,semiconductors,STRONG_UPTREND,88.0,55.5,75.5,100.0,179.53317260742188,-3.4721057130759236,-1.2725433511764472,-5.6442328270051245,-1.864950926772535
2024-11-05,AVGO,semiconductors,NEUTRAL,58.5,41.5,48.0,65.0,165.98277282714844,3.1741299542087598,6.146538005176949,-1.708702098862025,-0.23732637533879775
2024-11-26,AVGO,semiconductors,NEUTRAL,35.5,27.5,39.5,55.0,162.30958557128906,-0.04853756951717081,2.0203775062820117,4.240978362472325,45.80887065212475
2024-12-18,AVGO,semiconductors,UPTREND,83.0,47.5,67.5,30.0,236.5709686279297,-6.914201993496483,0.03838385336865091,-3.1754753557407867,-0.8965541929248144
2025-01-13,AVGO,semiconductors,UPTREND,73.0,38.5,65.5,90.0,221.48532104492188,0.4368918728439031,5.853507845741945,-9.888088826781082,4.783551271757958
2025-02-04,AVGO,semiconductors,NEUTRAL,50.5,25.5,40.5,40.0,214.9881591796875,2.1586413791184755,7.950217268733573,4.960280958878216,-13.893353217695148
2025-02-26,AVGO,semiconductors,NEUTRAL,58.0,40.5,38.5,40.0,199.98947143554688,5.134776534714436,-7.435579723358854,-6.146937666854102,-6.7692009543349085
2025-03-19,AVGO,semiconductors,DOWNTREND,32.5,42.5,44.5,40.0,186.2941436767578,3.6571708365642275,0.0846180919558126,-10.409753547657118,-4.864864554946591
2025-04-09,AVGO,semiconductors,DOWNTREND,20.0,35.0,35.5,30.0,154.5313262939453,18.66308758497397,14.68948734443758,13.382059400446211,31.2632259230313
2025-05-01,AVGO,semiconductors,REVERSAL,61.0,69.5,75.5,70.0,190.621337890625,2.525078926977331,6.411384055790004,20.60061348514637,25.718291527116932
2025-05-22,AVGO,semiconductors,STRONG_UPTREND,94.0,59.5,68.5,85.0,227.52346801757812,0.3482333620236089,5.327987205131679,13.145858038285606,9.07517937455209
2025-06-13,AVGO,semiconductors,UPTREND,84.0,45.5,68.5,85.0,253.61048889160156,-2.8781241996010176,-2.144571407908624,5.433643047066172,7.880134654447546
2025-07-08,AVGO,semiconductors,STRONG_UPTREND,88.0,55.5,75.5,85.0,272.1856689453125,-0.8680476915521762,0.5179067561537298,5.117076167902601,8.585600595583799
2025-07-29,AVGO,semiconductors,STRONG_UPTREND,88.0,50.5,78.5,85.0,292.1593017578125,1.060158295691127,1.1620857460759249,3.261981332590169,-0.023763573439783414
2025-08-19,AVGO,semiconductors,UPTREND,81.0,50.5,68.5,100.0,303.5359802246094,-3.5485373557737843,-3.770922296777268,-2.4594553916559847,17.739389059231982
2025-09-10,AVGO,semiconductors,STRONG_UPTREND,94.0,59.5,75.5,85.0,334.22113037109375,9.772184520512607,6.9296271886212235,0.8467499007921875,0.09397577996153039
2025-10-01,AVGO,semiconductors,NEUTRAL,72.5,50.5,59.5,75.0,328.0714416503906,1.0548410757150295,1.9702341667561907,4.310264556761267,13.052046720795673
2025-10-22,AVGO,semiconductors,EARLY_UPTREND,65.0,39.5,62.5,90.0,340.7503967285156,-0.688733693489596,8.845501884385488,2.7082203199098265,-0.630367493904771
2025-11-12,AVGO,semiconductors,NEUTRAL,61.5,46.5,56.5,75.0,349.9985656738281,0.9262471691560581,-3.2560558240289916,9.395947405964723,17.334360588287147
2025-12-04,AVGO,semiconductors,UPTREND,80.0,52.5,72.5,90.0,378.4888916015625,0.11035028596253493,8.502148468303194,-14.34277156442615,-8.492916327617305
2025-12-26,AVGO,semiconductors,NEUTRAL,44.5,37.5,40.5,40.0,348.93463134765625,0.5453699484602392,-0.7423982564114251,-1.4990523784993548,-7.244017565325533
2026-01-20,AVGO,semiconductors,REVERSAL_CONFIRMED,64.0,79.5,77.0,100.0,350.4191589355469,-5.433451759563546,-7.636972149442611,-5.857103853809287,-5.45051245217193
2026-02-10,AVGO,semiconductors,NEUTRAL,43.0,54.5,59.5,75.0,342.67767333984375,-1.0176187043709373,-3.3145300031294345,-5.364310292530094,-0.395427426216477
2026-03-04,AVGO,semiconductors,DOWNTREND,23.0,35.5,37.5,40.0,312.68817138671875,1.1757568635917037,9.157513161508412,2.3801878673447296,-1.1728094196404748
2026-03-25,AVGO,semiconductors,REVERSAL,38.5,62.5,63.0,75.0,317.78704833984375,0.1633688477156836,-2.7584866428777333,10.160549361841632,32.78770135652227
2026-04-16,AVGO,semiconductors,STRONG_UPTREND,88.0,44.5,75.5,45.0,396.0931091308594,0.44112189222447196,6.536091381434828,2.2005475076659398,5.058987167061946
2026-05-07,AVGO,semiconductors,UPTREND,76.0,39.5,65.5,75.0,424.7677307128906,-3.0274544717934893,-2.0331869388924617,-1.8051857816078654,-1.5348820935499496
2026-05-29,AVGO,semiconductors,UPTREND,79.0,53.5,65.5,100.0,425.9059143066406,4.7329963954791054,-1.7980185703941998,-9.613670309402679,-14.29562803608605
2026-06-22,AVGO,semiconductors,NEUTRAL,60.0,47.5,54.5,75.0,410.70001220703125,-4.521550224560922,-11.122479141863861,-8.960315855066547,-7.92306003841039
2026-07-14,AVGO,semiconductors,NEUTRAL,41.5,53.5,66.5,50.0,384.04998779296875,1.3175361852430179,-1.5336503887703579,-0.21611420352734,9.98568085469882
2024-09-03,BAC,financials,REVERSAL_CONFIRMED,77.0,47.5,84.5,100.0,38.92723083496094,-0.12271008786285398,-2.509637867067016,-3.423525215247336,-1.9909471666532785
2024-09-24,BAC,financials,UPTREND,70.0,59.5,76.5,100.0,38.33489990234375,-1.0534204295956417,-0.4765622636642819,0.22572797371032127,4.740396908669142
